bob sadino bilang orang goblok cenderung sukses berbisnis orang pintar. sumpah goblok mudah! #bobsadino #goblog #pintar #bisnis	negative
sekolahan kayak mantan oke semenjak tinggal. #pelajar	negative
bagus naikan standard amplop jelang 17 april 1x coblosan standardnya 80 juta cepekan mulu .. :d :d #80juta	negative
demokrasi indonesia!	negative
prabowo jokowi. santai .. :) #debatpilpres	negative
ide bagus. presiden buatkan aturan izin pendirian indomarit samping foto kopi.	negative
presiden calon visi misi janji presiden. tolong rencananya presiden.	negative
simpatisan jokowi mengaku pendukungnya. fan berat prabowo bilang. biar gembira. . :d	negative
taklukkan dunia! maya raisa!	negative
bangun tidur tol pas dengar #janganpakaitol langsung putar. :d :*	negative
semarang jalan tol ??? untung pakai sepeda onthel	negative
berhenti presiden pemilihan kali memilih pemimpin kerja nyata pemimpin kerja hoaks .. #hoaxcenterpusathoax	negative
puncak kejayaan hilang kebohongan .. hoaxcenterpusathoax #hoaxcenterpusathoax	negative
negara demokrasi pidato keras mengkritik pemerintah dibolehkan kritik berdasar berdata. #hoaxcenterpusathoax	negative
presiden jokowi kerap mengimbau masyarakat hijrah penyebaran ujaran kebencian kabar bohong ujaran-ujaran kebenaran. #hoaxcenterpusathoax	negative
hoaks center diciptakan mencegah penyebaran hoaks produksi hoax? #hoaxcenterpusathoax	negative
yuk wujudkan pemilihan jujur adil damai .. fitnah hoaks .. hoaks dipilih .. #hoaxcenterpusathoax	negative
teggakkan kebeneran bangsa indonesia maju berdiri teggakkan. #hoaxcenterpusathoax	negative
lawan hoax? kurang-kurangi berfikiran negative kurang-kurangi ghibah kerja kerja kerja no sensasi! #hoaxcenterpusathoax	negative
duhhh ... instagram gue komen artis terkenal dunia terbalik kang akum. malu ... :)	negative
optimis sabar jokowi !!	negative
orang kebaikan bangsa indonesia	negative
#generasioptimis belajar sejarah kegagalan terulang. gampang termakan hasutan maju. maju pikiran dibenarkan. 2030 indonesia. pertanyaannya 2030 apa?'	negative
bangga negeri 90 keliling sabang-marauke melatih masyarakat & membangun daerah tertinggal kejayaan indonesia optimis negara negara retrorika karya nyata	negative
bergerak kejar bro! #generasioptimis bisa!	negative
mari menangkan indonesia anak anak muda bersih cerdas berkomitmen anti korupsi & anti intoleransi.	negative
